Country,Rank,GDP
Gross world product, ,"83,844,988"
United States,1,"20,807,269"
China,2,"14,860,775"
Japan,3,"4,910,580"
Germany,4,"3,780,553"
United Kingdom,5,"2,638,296"
India,6,"2,592,583"
France,7,"2,551,451"
Italy,8,"1,848,222"
Canada,9,"1,600,264"
South Korea,10,"1,586,786"
Russia,11,"1,464,078"
Brazil,12,"1,363,767"
Australia,13,"1,334,688"
Spain,14,"1,247,464"
Indonesia,15,"1,088,768"
Mexico,16,"1,040,372"
Netherlands,17,"886,339"
Switzerland,18,"707,868"
Saudi Arabia,19,"680,897"
Turkey,20,"649,436"
Taiwan,—,"635,547"
Iran,21,"610,662"
Poland,22,"580,894"
Sweden,23,"529,054"
Thailand,24,"509,200"
Belgium,25,"503,416"
Nigeria,26,"442,976"
Austria,27,"432,894"
Republic of Ireland,28,"399,064"
Israel,29,"383,425"
Argentina,30,"382,760"
Philippines,31,"367,362"
Norway,32,"366,386"
Egypt,33,"361,875"
United Arab Emirates,34,"353,899"
Hong Kong,—,"341,319"
Vietnam,35,"340,602"
Denmark,36,"339,626"
Singapore,37,"337,451"
Malaysia,38,"336,330"
Bangladesh,39,"317,768"
Pakistan,40,"284,200"
South Africa,41,"282,588"
Finland,42,"267,856"
Colombia,43,"264,933"
Romania,44,"248,624"
Chile,45,"245,414"
Czech Republic,46,"241,975"
Portugal,47,"221,716"
Peru,48,"195,761"
Greece,49,"194,376"
New Zealand,50,"193,545"
Iraq,51,"178,112"
Kazakhstan,52,"165,730"
Hungary,53,"149,939"
Qatar,54,"147,791"
Algeria,55,"147,323"
Ukraine,56,"142,250"
Morocco,57,"112,220"
Kuwait,58,"108,656"
Slovakia,59,"101,892"
Kenya,60,"101,048"
Ethiopia,61,"95,588"
Puerto Rico,—,"93,968"
Ecuador,63,"93,078"
Sri Lanka,64,"81,120"
Dominican Republic,65,"77,883"
Guatemala,66,"76,191"
Myanmar,67,"70,890"
Luxembourg,68,"68,613"
Bulgaria,69,"67,917"
Ghana,70,"67,337"
Tanzania,71,"64,123"
Angola,72,"62,724"
Oman,73,"62,305"
Ivory Coast,74,"61,502"
Panama,75,"60,286"
Uzbekistan,76,"59,771"
Costa Rica,77,"59,645"
Belarus,78,"57,708"
Croatia,79,"56,768"
Lithuania,80,"55,064"
Uruguay,81,"54,135"
Serbia,82,"51,999"
Slovenia,83,"51,802"
Venezuela,84,"48,610"
Turkmenistan,85,"47,986"
Democratic Republic of the Congo,86,"46,062"
Jordan,87,"42,609"
Azerbaijan,88,"41,666"
Tunisia,89,"39,226"
Cameroon,90,"39,036"
Bolivia,91,"38,938"
Uganda,92,"37,733"
Paraguay,93,"35,606"
Bahrain,94,"34,624"
Latvia,95,"33,015"
Sudan,96,"32,576"
Nepal,97,"32,158"
Estonia,98,"30,468"
Cambodia,99,"26,316"
Macau,—,"26,348"
El Salvador,100,"24,784"
Senegal,101,"24,409"
Honduras,102,"23,984"
Papua New Guinea,103,"23,283"
Cyprus,104,"23,246"
Trinidad and Tobago,105,"22,718"
Libya,106,"21,805"
Yemen,107,"20,948"
Iceland,108,"20,805"
Afghanistan,109,"19,006"
Zambia,110,"18,909"
Bosnia and Herzegovina,111,"18,893"
Lebanon,112,"18,734"
Laos,113,"18,653"
Mali,114,"17,685"
Georgia (country),115,"16,316"
Burkina Faso,116,"16,082"
Botswana,117,"15,872"
Benin,118,"15,292"
Gabon,119,"15,145"
State of Palestine,120,"14,750"
Mozambique,121,"14,557"
Malta,122,"14,290"
Guinea,123,"14,238"
Jamaica,124,"14,228"
Madagascar,125,"14,199"
Albania,126,"14,034"
Zimbabwe,127,"14,002"
Mongolia,128,"13,385"
Niger,129,"12,971"
Armenia,130,"12,813"
North Macedonia,131,"12,510"
Nicaragua,132,"11,905"
The Bahamas,133,"11,560"
Mauritius,134,"11,341"
Moldova,135,"11,241"
Brunei,136,"10,647"
Chad,137,"10,510"
Rwanda,138,"10,428"
Namibia,139,"10,252"
Equatorial Guinea,140,"10,028"
Republic of the Congo,141,"9,964"
Haiti,142,"8,347"
Malawi,143,"8,330"
Tajikistan,144,"7,898"
Kosovo,145,"7,484"
Kyrgyzstan,146,"7,480"
Mauritania,147,"7,428"
Guyana,148,"6,806"
Togo,149,"5,719"
Montenegro,150,"4,943"
Somalia,151,"4,918"
Maldives,152,"4,712"
Barbados,153,"4,630"
South Sudan,154,"4,177"
Sierra Leone,155,"4,140"
Fiji,156,"3,932"
Eswatini,157,"3,848"
Djibouti,158,"3,408"
Burundi,159,"3,131"
Liberia,160,"3,068"
Bhutan,161,"2,587"
Suriname,162,"2,538"
Central African Republic,163,"2,321"
Aruba,—,"2,288"
Eritrea,164,"2,075"
East Timor,165,"1,920"
Lesotho,166,"1,906"
Cape Verde,167,"1,870"
The Gambia,167,"1,806"
Saint Lucia,168,"1,770"
Belize,169,"1,556"
Solomon Islands,170,"1,551"
San Marino,171,"1,410"
Guinea-Bissau,172,"1,392"
Antigua and Barbuda,173,"1,389"
Comoros,174,"1,200"
Seychelles,175,"1,198"
Grenada,176,"1,074"
Saint Kitts and Nevis,177,871
Vanuatu,178,864
Samoa,179,829
Saint Vincent and the Grenadines,180,777
Dominica,181,545
Tonga,182,503
São Tomé and Príncipe,183,417
Federated States of Micronesia,184,395
Palau,185,251
Marshall Islands,186,225
Kiribati,187,194
Nauru,188,114
Tuvalu,189,45
Syria,—,N/a
